video,file,legible,fps,mst,r,t,s,b,dg,pr1,n,bw,bp,p,m,d,bps_em,bps_pr,bps_lp,bps_wp,slv_b,slv_pb,slv_pm,slv_ps,lim,spl,v1,vrm,gov,thk,tic,vd1,thp,spr,seg,note
1PLAYER-DEBUG2,00.png,True,15.0,66,39,4,0,3.2,9/0,4.7,1,1.4,27.7,5.4,15.6,8,1.5,2.2,25.1,28.9,8,6,2.0,0.3,LIM vp11.0 ds18 ss3 zf623k lg228k,,V1 c31 B32 fl0/0/0 LP100% ec12 ws480 tx1,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-572 sb0 L0 i24 ws480,THK n99 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.2 v4.0 sp95% sc0 ca4a,VD1 fb0/1 MP1 w0 15ms g0 Q4 E9/93,THp n1/4 d0 x0 m0 s0 l0 b0 r36 g0,SPR fl0.1 n4/1 th1/0 td0/0/0 fb1 o0,SEG c196 f95 k18 lk0,"row2 M0.3. row0 to0:0000 cd0 ld200/4. row3 REC 50:40.0 95:84.0 mx192.1 d0. row6 MX m1 1519,-2494 a2 t16s. row17 tx clipped at right edge (reads 'tx1', likely a truncated tx19)."
1PLAYER-DEBUG2,01.png,True,8.9,112,77,7,0,3.1,14/0,1.7,1,4.9,40.6,12.5,13.2,21,1.2,3.5,34.1,40.6,15,45,6.9,6.0,LIM vp13.0 ds29 ss2 zf622k lg228k,,V1 c22 B64 fl0/0/0 LP100% ec6 ws480 tx19,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-703 sb0 L0 i24 ws480,THK n165 mo3 ph1 sm0 mv0 pt0 w1 dc0,TIC th5 s0 x3.6 v6.7 sp92% sc1 ca4a,VD1 fb0/1 MP1 w0 10ms g0 Q9 E29/95,THp n1/4 d0 x0 m0 s0 l0 b0 r9 g0,SPR fl0.0 n5/1 th0/0 td0/0/0 fb0 o0,SEG c855 f145 k10 lk0,row2 M0.3. row1 rs0.0. row0 to0:0000 cd0 ld200/4. row3 REC 50:40.0 95:82.0 mx192.1 d0.
1PLAYER-DEBUG2,02.png,True,14.5,68,43,3,0,3.1,9/0,3.8,1,3.6,45.5,10.9,13.0,20,1.5,2.6,12.3,16.5,10,13,3.1,1.4,LIM vp8.0 ds13 ss3 zf618k lg228k,,V1 c30 B48 fl0/0/0 LP100% ec4 ws480 tx19,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-549 sb0 L0 i24 ws480,THK n102 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.2 v4.1 sp95% sc0 ca4a,VD1 fb0/1 MP1 w0 10ms g0 Q5 E34/99,THp n1/4 d0 x0 m0 s0 l0 b0 r24 g0,SPR fl0.0 n3/0 th1/0 td0/0/0 fb0 o1,SEG c303 f40 k5 lk0,row2 M0.0. row1 rs0.6. row0 to0:0000 cd0 ld200/4.
1PLAYER-DEBUG2,03.png,True,,,34,4,0,3.2,6/0,5.4,1,5.0,33.4,13.7,,34,4.1,3.6,6.5,12.3,13,16,3.8,2.2,LIM vp9.0 ds23 ss4 zf614k lg224k,,V1 c81 B135 fl0/0/0 LP100% ec15 ws480 tx,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-411 sb0 L0 i24 ws480,THK n92 mo1 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.0 v3.6 sp100% sc0 ca4a,VD1 fb0/1 MP1 w0 5ms g0 Q2 E11/99,THp n1/4 d0 x0 m0 s0 l0 b0 r17 g0,SPR fl0.3 n2/1 th0/0 td0/0/0 fb0 o0,SEG c332 f17 k0 lk0,row0 fps / a / MST / to / cd NOT transcribed: the top row is smeared by the scene and the frame edge; only ld200/4 is legible. row2 M0.7 read with low confidence. row17 tx value clipped at right edge.
1PLAYER-DEBUG2,04.png,True,17.0,58,34,3,0,3.3,6/0,4.8,1,4.8,,6.4,13.9,23,4.8,3.2,12.4,20.9,11,18,0.3,1.1,LIM vp14.0 ds38 ss7 zf614k lg224k,,V1 c97 B87 fl0/0/0 LP100% ec4 ws480 tx19,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-857 sb0 L0 i24 ws480,THK n87 mo1 ph0 sm0 mv0 pt0 w0 dc0,TIC th1 s0 x1.8 v3.5 sp95% sc0 ca4a,VD1 fb0/1 MP1 w0 9ms g0 Q4 E17/99,THp n1/4 d0 x0 m0 s0 l0 b0 r? g0,SPR fl0.0 n19/0 th0/0 td0/0/0 fb0 o0,SEG c358 f53 k0 lk0,"row2 Bp NOT transcribed: the digit pair sits on a bright scene edge and reads ambiguously as 19.1 or 10.1, left absent rather than guessed (row-4 wp20.9 would favour 19.1). row2 M1.1. row1 rs1.2. row9 'r' digit unreadable. row5 w0.7 mw0."
1PLAYER-DEBUG2,05.png,True,15.0,66,47,4,0,3.4,3/0,1.5,1,2.9,40.9,14.1,13.5,22,3.4,6.4,30.0,40.1,22,63,8.7,8.9,LIM vp8.0 ds22 ss4 zf614k lg224k,,V1 c55 B64 fl0/0/0 LP100% ec4 ws480 tx19,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-248 sb0 L0 i24 ws480,THK n95 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.1 v4.0 sp91% sc0 ca4a,VD1 fb0/1 MP1 w0 5ms g0 Q6 E24/92,THp n1/4 d0 x0 m0 s0 l0 b0 r0 g0,SPR fl0.0 n2/0 th0/0 td0/0/0 fb0 o0,SEG c534 f120 k14 lk0,row2 M0.0. row1 rs0.6. row3 REC 50:38.0 95:80.0 mx192.1 d0. row5 w0.2 mw0.
1PLAYER-DEBUG2,06.png,True,12.4,80,52,6,0,3.3,11/0,0.4,1,0.5,40.9,1.3,11.6,1,0.3,0.1,40.6,40.9,7,0,0.3,0.0,LIM vp5.0 ds14 ss2 zf614k lg224k,,V1 c5 B80 fl0/0/0 LP100% ec28 ws480 tx19,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-811 sb0 L0 i24 ws480,THK n124 mo3 ph2 sm0 mv1 pt0 w0 dc0,TIC th4 s0 x2.7 v4.8 sp100% sc0 ca4a,VD1 fb0/1 MP1 w0 3ms g0 Q0 E0/0,THp n1/4 d0 x0 m0 s0 l0 b0 r0 g0,SPR fl0.0 n1/0 th0/0 td0/0/0 fb0 o0,SEG c160 f160 k30 lk0,"row2 M0.0, d1. row1 rs0.1. VD1 reads Q0 E0/0 while row2 still shows Bp40.9 -- see anomalies."
1PLAYER-DEBUG2,07.png,True,8.4,119,96,6,0,3.3,3/0,8.5,1,6.9,54.4,21.5,13.1,38,4.1,7.1,41.7,54.4,29,37,8.2,8.1,LIM vp15.0 ds38 ss6 zf614k lg224k,,V1 c68 B80 fl0/0/0 LP100% ec4 ws480 tx20,VRM tx20/26 bk2 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-338 sb0 L0 i24 ws480,THK n165 mo2 ph0 sm1 mv0 pt0 w1 dc0,TIC th4 s0 x3.6 v7.0 sp90% sc1 ca4a,VD1 fb0/1 MP1 w0 5ms g0 Q14 E25/64,THp n1/4 d0 x0 m0 s0 l0 b0 r59 g15,SPR fl1.6 n23/13 th2/0 td0/0/0 fb2 o2,SEG c837 f198 k8 lk0,"row2 M8.4, the highest M of the run. row16 GCS w10.9/198 m1.0/33 P150/0.4. row12 CD partly washed out but reads t27s px0 ob0 gy0 st0."
1PLAYER-DEBUG2,08.png,True,9.8,102,77,8,0,3.3,3/0,15.0,1,5.1,18.9,23.8,10.4,33,3.8,6.0,7.5,18.9,10,25,3.0,6.1,LIM vp21.0 ds36 ss6 zf614k lg224k,,V1 c70 B154 fl0/0/0 LP100% ec32 ws480 tx,VRM tx20/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-573 sb0 L0 i24 ws480,THK n156 mo3 ph1 sm0 mv1 pt0 w1 dc0,TIC th4 s0 x3.4 v6.0 sp100% sc0 ca4a,VD1 fb0/1 MP1 w0 12ms g0 Q11 E21/90,THp n1/4 d0 x0 m0 s0 l0 b0 r69 g18,SPR fl1.9 n21/7 th?/? td0/0/0 fb2 o1,SEG c524 f0 k0 lk0,"row2 M15.5, row5 w3.1 mw3. Muzzle flash burns the middle of rows 13 and 15: LOS N last field and SPR th x/y not readable. row16 GCS w0.0/0 m2.0/72 P150/0.0. row17 tx clipped at right edge."
1PLAYER-DEBUG2,09.png,True,,56,38,4,0,3.3,4/0,5.0,1,,53.1,3.1,12.3,16,2.3,3.6,4.6,10.8,12,21,0.4,0.6,LIM vp12.0 ds35 ss6 zf614k lg180k,,V1 c41 B191 fl0/0/0 LP100% ec32 ws480 tx,VRM tx21/26 bk1 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-258 sb0 L0 i24 ws480,THK n85 mo1 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x1.8 v3.3 sp100% sc0 ca4a,,THp n1/5 d0 x0 m0 s0 l0 b0 r7 g2,SPR fl0.0 n16/0 th2/0 td0/0/0 fb0 o0,SEG c297 f1 k0 lk0,"Large yellow fireball over the right half. NOT transcribed: row0 fps (leading glyphs destroyed; the rest reads a12.3 MST56 to0:0000 cd0 ld200/4), row2 Bw (reads 2.3 or 2.5 over the flame), and the VD1 Q/E fields (burned out; 'VD1 fb0/1 MP1 w0 10ms g0' is legible). row2 M0.4. row1 rs0.7. row5 w0.2 mw0."
1PLAYER-DEBUG2,10.png,True,24.0,41,22,2,0,3.3,2/0,1.7,1,0.6,40.3,1.3,17.5,3,1.5,1.5,1.9,4.5,12,0,0.3,0.0,LIM vp3.0 ds8 ss3 zf614k lg178k,,V1 c23 B32 fl0/0/0 LP100% ec4 ws480 tx22,VRM tx22/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-585 sb0 L0 i24 ws480,THK n62 mo0 ph0 sm0 mv0 pt0 w0 dc0,TIC th1 s0 x1.4 v2.5 sp100% sc0 ca4a,,THp n1/5 d0 x0 m0 s0 l0 b0 r0 g0,SPR fl0.0 n6/0 th2/0 td0/0/0 fb0 o0,SEG c160 f0 k0 lk0,"Fastest frame of the run (24.0 fps, MST41). VD1 row partly covered by a red/green in-scene sprite: it reads 'VD1 fb0/1 MP1 w0 11ms' then g/Q obscured, tail '1 E1/86' -- vd1 verbatim omitted for that reason. row2 M0.0. row1 rs1.6. row3 REC 50:38.0 95:78.0 mx192.1 d0. row5 w0.4 mw0."
1PLAYER-DEBUG2,11.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermission (NUCLEAR PLANT tally); overlay is drawn but rows 1-2 sit under the level-name graphic. Readable anyway: row0 12.2fps a12.9 MST81 to0:0000 cd0 ld202/4; VD1 fb0/1 MP1 w0 21ms g3 Q0 E0/0; LIM vp0.0 ds0 ss0 zf558k lg173k; SEG c160 f160 k30 lk0; V1 c2 B32 fl0/0/0 LP100% ec14 ws480 tx22; THK all zero; TIC th0 s0 x0.0 v4.9 sp0% sc0 ca4a a.
1PLAYER-DEBUG2,12.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intermission -- identical to 11.png (same tally screen, same overlay values including MST81, ld202/4, zf558k, e-350)."
1PLAYER-DEBUG2,13.png,True,5.9,169,0,914,0,3.2,2/0,25.3,1,10.3,29.5,21.7,8.9,49,6.0,9.7,11.5,28.6,6,20,9.0,4.4,LIM vp35.0 ds49 ss5 zf500k lg165k,,V1 c88 B40 fl0/0/0 LP100% ec4 ws320 tx24,VRM tx24/26 bk7 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-355 sb0 L0 i0 ws320,THK n448 mo9 ph0 sm6 mv0 pt1 w3 dc0,TIC th12 s3 x4.0 v10.1 sp68% sc0 ca4a,VD1 fb0/1 MP1 w0 5ms g0 Q19 E25/88,THp n1/5 d0 x0 m0 s0 l0 b0 r24 g26,SPR fl1.4 n36/11 th2/0 td0/0/0 fb0 o2,SEG c709 f13 k0 lk0,"First frame of the NEW map: row6 MX m2 -32,-240 a64 t0s (map timer 0 s, post-load). row0 ld206/46 -- the only frame whose ld second term is not 4. row3 REC 50:66.0 95:68.0 mx80.1 d0 (REC window reset). ws320 on both V1 and GOV, where every earlier frame reads ws480; row21 i0 (was i24 throughout). row2 M3.0. row12 CD t28s."
2PLAYER-DEBUG1,00.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"menu (""Which Episode?"") - overlay present but all counters at 0/idle"
2PLAYER-DEBUG1,01.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"menu (""Choose Skill Level"") - overlay all zeros"
2PLAYER-DEBUG1,02.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"menu (""Choose Skill Level"") - identical to 01, overlay all zeros"
2PLAYER-DEBUG1,03.png,True,0.5,2000,0,6195,0,5.6,1304/1,57.5,2,11.9,34.6,15.2,1.2,61,10.0,13.0,11.5,34.2,0,58,7.1,8.9,LIM vp20.0 ds31 ss7 zf620k lg159k,SPL 37 32 0 0 k15 =69 tc1 bal0 h106.3 po,,VRM tx6/26 bk6 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e97 sb0 L0 i0 ws440,THK n265 mo2 ph0 sm0 mv0 pt1 w1 dc0,TIC th6 s2 x5.0 v111.0 sp7% sc0 ca4a,VD1 fb0/0 MP1 w0 4ms g0 Q7 E37/96,THp n0/0 d0 x0 m0 s0 l0 b0 r4 g0,SPR fl0.1 n16/2 th3/0 td0/0/0 fb1 o1,SEG c257 f0 k0 lk0,"first in-game frame right after level load: T6195 ms tic, dg1304 pre-drawsegs, MST2000, 0.5 fps, SPL h106.3. SPL p-field digits run off the right screen edge (only 'po' visible). ws440 and i0/e97 here vs ws480/i16/negative e on all later frames."
2PLAYER-DEBUG1,04.png,True,9.0,111,64,7,0,3.3,14/1,10.8,2,9.9,25.9,18.4,1.0,46,8.6,9.6,7.7,23.4,8,48,8.4,8.8,LIM vp20.0 ds30 ss7 zf616k lg159k,SPL 20 36 0 0 k9 =56 tc1 bal0 h0.0 po14,,VRM tx6/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-227 sb0 L0 i16 ws480,THK n208 mo4 ph0 sm1 mv0 pt0 w1 dc0,TIC th4 s0 x3.8 v6.7 sp97% sc0 ca4a,VD1 fb0/0 MP1 w0 19ms g9 Q7 E37/96,THp n0/5 d0 x0 m0 s0 l0 b0 r33 g0,SPR fl0.0 n16/1 th4/0 td0/0/0 fb3 o1,SEG c257 f0 k0 lk0,
